[run number],vaccination-rate,removal-rate,claim-rate,number-people,duration,bite-rate,infectiousness,chance-recover,[step],count turtles with [ sick? ],count turtles with [ exposed? ],count turtles with [ immune? ],count turtles,peak-sick,total-infected-ever,total-removed,total-claimed,total-died
1,0,0,50,100,3,73,74,1,156,0,0,0,3,26,109,0,0,0
12,0,0,50,100,3,73,74,1,156,0,0,0,11,15,95,0,0,0
2,0,0,50,100,3,73,74,1,156,0,0,1,14,19,98,0,0,0
11,0,0,50,100,3,73,74,1,156,0,0,2,5,19,108,0,0,0
5,0,0,50,100,3,73,74,1,156,0,0,0,15,12,94,0,0,0
9,0,0,50,100,3,73,74,1,156,0,0,2,7,13,107,0,0,0
4,0,0,50,100,3,73,74,1,156,0,0,2,10,17,104,0,0,0
7,0,0,50,100,3,73,74,1,156,0,0,1,16,12,95,0,0,0
13,0,0,50,100,3,73,74,1,156,0,0,0,6,15,97,0,0,0
8,0,0,50,100,3,73,74,1,156,0,0,1,18,18,102,0,0,0
10,0,0,50,100,3,73,74,1,156,0,0,1,5,21,100,0,0,0
6,0,0,50,100,3,73,74,1,156,0,0,4,17,14,99,0,0,0
16,0,0,50,100,3,73,74,1,156,0,0,1,8,22,97,0,0,0
14,0,0,50,100,3,73,74,1,156,0,0,0,10,21,98,0,0,0
15,0,0,50,100,3,73,74,1,156,0,0,0,5,22,114,0,0,0
17,0,0,50,100,3,73,74,1,156,0,0,0,14,15,100,0,0,0
18,0,0,50,100,3,73,74,1,156,0,0,0,15,21,97,0,0,0
20,0,0,50,100,3,73,74,1,156,0,0,0,6,19,108,0,0,0
21,0,0,50,100,3,73,74,1,156,0,0,0,15,18,90,0,0,0
25,0,0,50,100,3,73,74,1,156,0,0,0,5,22,104,0,0,0
24,0,0,50,100,3,73,74,1,156,0,0,0,13,13,102,0,0,0
22,0,0,50,100,3,73,74,1,156,0,0,0,21,21,101,0,0,0
26,0,0,50,100,3,73,74,1,156,0,0,0,12,15,95,0,0,0
23,0,0,50,100,3,73,74,1,156,0,0,0,4,18,102,0,0,0
19,0,0,50,100,3,73,74,1,156,0,0,1,22,14,100,0,0,0
27,0,0,50,100,3,73,74,1,156,0,0,1,2,21,104,0,0,0
29,0,0,50,100,3,73,74,1,156,0,0,3,19,14,101,0,0,0
28,0,0,50,100,3,73,74,1,156,0,0,2,2,22,106,0,0,0
30,0,0,50,100,3,73,74,1,156,0,0,0,3,21,108,0,0,0
38,0,0,50,150,3,73,74,1,156,0,0,2,5,36,160,0,0,0
32,0,0,50,150,3,73,74,1,156,0,0,2,3,38,153,0,0,0
33,0,0,50,150,3,73,74,1,156,0,0,0,0,43,160,0,0,0
34,0,0,50,150,3,73,74,1,156,0,0,0,4,40,157,0,0,0
35,0,0,50,150,3,73,74,1,156,0,0,1,3,34,159,0,0,0
31,0,0,50,150,3,73,74,1,156,0,0,1,3,31,152,0,0,0
36,0,0,50,150,3,73,74,1,156,0,0,2,13,29,159,0,0,0
37,0,0,50,150,3,73,74,1,156,0,0,2,10,32,156,0,0,0
41,0,0,50,150,3,73,74,1,156,0,0,0,0,33,155,0,0,0
39,0,0,50,150,3,73,74,1,156,0,0,0,1,35,149,0,0,0
40,0,0,50,150,3,73,74,1,156,0,0,1,1,39,157,0,0,0
44,0,0,50,150,3,73,74,1,156,0,0,0,2,35,152,0,0,0
45,0,0,50,150,3,73,74,1,156,0,0,1,4,36,165,0,0,0
42,0,0,50,150,3,73,74,1,156,0,0,2,4,30,157,0,0,0
46,0,0,50,150,3,73,74,1,156,0,0,0,0,26,150,0,0,0
43,0,0,50,150,3,73,74,1,156,0,0,1,14,31,150,0,0,0
49,0,0,50,150,3,73,74,1,156,0,0,2,13,37,151,0,0,0
48,0,0,50,150,3,73,74,1,156,0,0,3,10,27,158,0,0,0
53,0,0,50,150,3,73,74,1,156,0,0,1,2,39,156,0,0,0
52,0,0,50,150,3,73,74,1,156,0,0,0,2,26,165,0,0,0
50,0,0,50,150,3,73,74,1,156,0,0,1,3,33,156,0,0,0
51,0,0,50,150,3,73,74,1,156,0,0,0,6,41,158,0,0,0
56,0,0,50,150,3,73,74,1,156,0,0,0,8,37,155,0,0,0
47,0,0,50,150,3,73,74,1,156,0,0,2,8,27,159,0,0,0
54,0,0,50,150,3,73,74,1,156,0,0,0,4,35,165,0,0,0
55,0,0,50,150,3,73,74,1,156,0,0,1,2,37,157,0,0,0
59,0,0,50,150,3,73,74,1,156,0,0,1,3,47,159,0,0,0
57,0,0,50,150,3,73,74,1,156,0,0,1,3,37,156,0,0,0
58,0,0,50,150,3,73,74,1,156,0,0,0,1,36,154,0,0,0
60,0,0,50,150,3,73,74,1,156,0,0,2,4,36,157,0,0,0
62,0,0,50,200,3,73,74,1,156,0,0,1,1,58,214,0,0,0
64,0,0,50,200,3,73,74,1,156,0,0,2,8,53,222,0,0,0
61,0,0,50,200,3,73,74,1,156,0,0,1,2,49,206,0,0,0
67,0,0,50,200,3,73,74,1,156,0,0,2,2,48,215,0,0,0
65,0,0,50,200,3,73,74,1,156,0,0,1,1,55,206,0,0,0
63,0,0,50,200,3,73,74,1,156,0,0,4,10,42,208,0,0,0
68,0,0,50,200,3,73,74,1,156,0,0,1,2,50,219,0,0,0
66,0,0,50,200,3,73,74,1,156,0,0,1,4,47,212,0,0,0
69,0,0,50,200,3,73,74,1,156,0,0,2,9,43,213,0,0,0
70,0,0,50,200,3,73,74,1,156,0,0,0,0,52,208,0,0,0
71,0,0,50,200,3,73,74,1,156,0,0,0,0,57,205,0,0,0
75,0,0,50,200,3,73,74,1,156,0,0,0,0,54,204,0,0,0
73,0,0,50,200,3,73,74,1,156,0,0,3,4,48,212,0,0,0
72,0,0,50,200,3,73,74,1,156,0,0,1,2,44,205,0,0,0
76,0,0,50,200,3,73,74,1,156,0,0,1,1,59,211,0,0,0
74,0,0,50,200,3,73,74,1,156,0,0,4,7,61,203,0,0,0
78,0,0,50,200,3,73,74,1,156,0,0,2,6,39,205,0,0,0
77,0,0,50,200,3,73,74,1,156,0,0,1,4,45,226,0,0,0
80,0,0,50,200,3,73,74,1,156,0,0,2,4,36,205,0,0,0
79,0,0,50,200,3,73,74,1,156,0,0,2,5,53,204,0,0,0
84,0,0,50,200,3,73,74,1,156,0,0,0,0,41,212,0,0,0
83,0,0,50,200,3,73,74,1,156,0,0,4,8,56,216,0,0,0
81,0,0,50,200,3,73,74,1,156,0,0,1,4,51,209,0,0,0
82,0,0,50,200,3,73,74,1,156,0,0,1,5,48,207,0,0,0
86,0,0,50,200,3,73,74,1,156,0,0,1,1,39,213,0,0,0
85,0,0,50,200,3,73,74,1,156,0,0,1,6,43,205,0,0,0
87,0,0,50,200,3,73,74,1,156,0,0,2,4,52,216,0,0,0
90,0,0,50,200,3,73,74,1,156,0,0,0,3,49,212,0,0,0
92,0,20,50,100,3,73,74,1,156,0,0,9,22,15,83,20,9,11
93,0,20,50,100,3,73,74,1,156,0,0,7,24,15,83,19,10,9
91,0,20,50,100,3,73,74,1,156,0,0,7,31,18,88,18,9,9
89,0,0,50,200,3,73,74,1,156,0,0,4,11,43,212,0,0,0
88,0,0,50,200,3,73,74,1,156,0,0,2,5,44,211,0,0,0
94,0,20,50,100,3,73,74,1,156,0,0,6,29,13,77,19,10,9
97,0,20,50,100,3,73,74,1,156,0,0,3,11,15,88,19,6,13
95,0,20,50,100,3,73,74,1,156,0,0,7,12,11,84,19,7,12
96,0,20,50,100,3,73,74,1,156,0,0,9,45,13,80,19,10,9
99,0,20,50,100,3,73,74,1,156,0,0,8,35,13,80,20,9,11
101,0,20,50,100,3,73,74,1,156,0,0,7,23,10,83,19,8,11
98,0,20,50,100,3,73,74,1,156,0,0,8,31,16,78,18,7,11
103,0,20,50,100,3,73,74,1,156,0,0,6,27,10,77,18,8,10
100,0,20,50,100,3,73,74,1,156,0,0,10,22,13,90,20,9,11
102,0,20,50,100,3,73,74,1,156,0,0,4,27,19,85,20,5,15
106,0,20,50,100,3,73,74,1,156,0,0,6,40,11,69,19,8,11
105,0,20,50,100,3,73,74,1,156,0,0,5,18,12,90,20,5,15
107,0,20,50,100,3,73,74,1,156,0,0,9,44,11,80,19,10,9
109,0,20,50,100,3,73,74,1,156,0,0,5,22,13,82,19,5,14
110,0,20,50,100,3,73,74,1,156,0,0,8,26,20,91,20,9,11
108,0,20,50,100,3,73,74,1,156,0,0,9,44,11,74,19,9,10
111,0,20,50,100,3,73,74,1,156,0,0,6,29,15,83,18,7,11
112,0,20,50,100,3,73,74,1,156,0,0,4,26,15,86,18,4,14
114,0,20,50,100,3,73,74,1,156,0,0,3,17,10,88,20,4,16
104,0,20,50,100,3,73,74,1,156,0,0,8,33,17,88,19,11,8
113,0,20,50,100,3,73,74,1,156,0,0,8,29,14,78,20,10,10
118,0,20,50,100,3,73,74,1,156,0,0,3,27,15,75,20,6,14
119,0,20,50,100,3,73,74,1,156,0,0,4,16,16,90,20,7,13
117,0,20,50,100,3,73,74,1,156,0,0,4,16,15,88,19,5,14
115,0,20,50,100,3,73,74,1,156,0,0,7,21,12,86,19,7,12
116,0,20,50,100,3,73,74,1,156,0,0,3,24,11,79,19,5,14
